Time,02PLENUM:VOID:WINTER DESIGN DAY IN INOVO TEST (01-05:20-06):Des Heat Load [W],02PLENUM:VOID:SUMMER DESIGN DAY IN INOVO TEST (01-05:20-06) JUL:Des Sens Cool Load [W],02PLENUM:VOID:WINTER DESIGN DAY IN INOVO TEST (01-05:20-06):Des Heat Mass Flow [kg/s],02PLENUM:VOID:SUMMER DESIGN DAY IN INOVO TEST (01-05:20-06) JUL:Des Cool Mass Flow [kg/s],02FFE:OFFICEXNEXLED:WINTER DESIGN DAY IN INOVO TEST (01-05:20-06):Des Heat Load [W],02FFE:OFFICEXNEXLED:SUMMER DESIGN DAY IN INOVO TEST (01-05:20-06) JUL:Des Sens Cool Load [W],02FFE:OFFICEXNEXLED:WINTER DESIGN DAY IN INOVO TEST (01-05:20-06):Des Heat Mass Flow [kg/s],02FFE:OFFICEXNEXLED:SUMMER DESIGN DAY IN INOVO TEST (01-05:20-06) JUL:Des Cool Mass Flow [kg/s],02FFE:OFFICEXE:WINTER DESIGN DAY IN INOVO TEST (01-05:20-06):Des Heat Load [W],02FFE:OFFICEXE:SUMMER DESIGN DAY IN INOVO TEST (01-05:20-06) JUL:Des Sens Cool Load [W],02FFE:OFFICEXE:WINTER DESIGN DAY IN INOVO TEST (01-05:20-06):Des Heat Mass Flow [kg/s],02FFE:OFFICEXE:SUMMER DESIGN DAY IN INOVO TEST (01-05:20-06) JUL:Des Cool Mass Flow [kg/s],02FFE:OFFICEXMEETXSE:WINTER DESIGN DAY IN INOVO TEST (01-05:20-06):Des Heat Load [W],02FFE:OFFICEXMEETXSE:SUMMER DESIGN DAY IN INOVO TEST (01-05:20-06) JUL:Des Sens Cool Load [W],02FFE:OFFICEXMEETXSE:WINTER DESIGN DAY IN INOVO TEST (01-05:20-06):Des Heat Mass Flow [kg/s],02FFE:OFFICEXMEETXSE:SUMMER DESIGN DAY IN INOVO TEST (01-05:20-06) JUL:Des Cool Mass Flow [kg/s],02FFE:OFFICEXMEETXSSE:WINTER DESIGN DAY IN INOVO TEST (01-05:20-06):Des Heat Load [W],02FFE:OFFICEXMEETXSSE:SUMMER DESIGN DAY IN INOVO TEST (01-05:20-06) JUL:Des Sens Cool Load [W],02FFE:OFFICEXMEETXSSE:WINTER DESIGN DAY IN INOVO TEST (01-05:20-06):Des Heat Mass Flow [kg/s],02FFE:OFFICEXMEETXSSE:SUMMER DESIGN DAY IN INOVO TEST (01-05:20-06) JUL:Des Cool Mass Flow [kg/s],02FFE:OFFICEXMEETXSSEXLED:WINTER DESIGN DAY IN INOVO TEST (01-05:20-06):Des Heat Load [W],02FFE:OFFICEXMEETXSSEXLED:SUMMER DESIGN DAY IN INOVO TEST (01-05:20-06) JUL:Des Sens Cool Load [W],02FFE:OFFICEXMEETXSSEXLED:WINTER DESIGN DAY IN INOVO TEST (01-05:20-06):Des Heat Mass Flow [kg/s],02FFE:OFFICEXMEETXSSEXLED:SUMMER DESIGN DAY IN INOVO TEST (01-05:20-06) JUL:Des Cool Mass Flow [kg/s],02FFE:OFFICEXNE:WINTER DESIGN DAY IN INOVO TEST (01-05:20-06):Des Heat Load [W],02FFE:OFFICEXNE:SUMMER DESIGN DAY IN INOVO TEST (01-05:20-06) JUL:Des Sens Cool Load [W],02FFE:OFFICEXNE:WINTER DESIGN DAY IN INOVO TEST (01-05:20-06):Des Heat Mass Flow [kg/s],02FFE:OFFICEXNE:SUMMER DESIGN DAY IN INOVO TEST (01-05:20-06) JUL:Des Cool Mass Flow [kg/s],02FFE:OFFICEXN:WINTER DESIGN DAY IN INOVO TEST (01-05:20-06):Des Heat Load [W],02FFE:OFFICEXN:SUMMER DESIGN DAY IN INOVO TEST (01-05:20-06) JUL:Des Sens Cool Load [W],02FFE:OFFICEXN:WINTER DESIGN DAY IN INOVO TEST (01-05:20-06):Des Heat Mass Flow [kg/s],02FFE:OFFICEXN:SUMMER DESIGN DAY IN INOVO TEST (01-05:20-06) JUL:Des Cool Mass Flow [kg/s],02FFE:OFFICEXMEETXSEXLED:WINTER DESIGN DAY IN INOVO TEST (01-05:20-06):Des Heat Load [W],02FFE:OFFICEXMEETXSEXLED:SUMMER DESIGN DAY IN INOVO TEST (01-05:20-06) JUL:Des Sens Cool Load [W],02FFE:OFFICEXMEETXSEXLED:WINTER DESIGN DAY IN INOVO TEST (01-05:20-06):Des Heat Mass Flow [kg/s],02FFE:OFFICEXMEETXSEXLED:SUMMER DESIGN DAY IN INOVO TEST (01-05:20-06) JUL:Des Cool Mass Flow [kg/s]
00:03:00,1.076948E+05,0.000000E+00,6.100277E+00,0.000000E+00,2.179092E+03,0.000000E+00,1.618997E-01,0.000000E+00,2.221166E+04,0.000000E+00,1.650335E+00,0.000000E+00,2.389023E+03,0.000000E+00,1.775094E-01,0.000000E+00,1.315611E+03,0.000000E+00,9.775868E-02,0.000000E+00,6.471514E+02,0.000000E+00,4.808509E-02,0.000000E+00,3.307720E+03,0.000000E+00,2.457712E-01,0.000000E+00,1.236092E+04,0.000000E+00,9.184065E-01,0.000000E+00,5.231201E+02,0.000000E+00,3.890202E-02,0.000000E+00
00:06:00,1.075676E+05,0.000000E+00,6.093084E+00,0.000000E+00,2.178403E+03,0.000000E+00,1.618485E-01,0.000000E+00,2.220081E+04,0.000000E+00,1.649529E+00,0.000000E+00,2.387850E+03,0.000000E+00,1.774223E-01,0.000000E+00,1.314913E+03,0.000000E+00,9.770685E-02,0.000000E+00,6.468198E+02,0.000000E+00,4.806046E-02,0.000000E+00,3.306105E+03,0.000000E+00,2.456513E-01,0.000000E+00,1.235537E+04,0.000000E+00,9.179943E-01,0.000000E+00,5.225480E+02,0.000000E+00,3.885948E-02,0.000000E+00
00:09:00,1.075682E+05,0.000000E+00,6.093120E+00,0.000000E+00,2.178406E+03,0.000000E+00,1.618487E-01,0.000000E+00,2.220086E+04,0.000000E+00,1.649533E+00,0.000000E+00,2.387856E+03,0.000000E+00,1.774228E-01,0.000000E+00,1.314917E+03,0.000000E+00,9.770711E-02,0.000000E+00,6.468215E+02,0.000000E+00,4.806059E-02,0.000000E+00,3.306113E+03,0.000000E+00,2.456518E-01,0.000000E+00,1.235540E+04,0.000000E+00,9.179963E-01,0.000000E+00,5.225508E+02,0.000000E+00,3.885969E-02,0.000000E+00
00:12:00,1.075688E+05,0.000000E+00,6.093155E+00,0.000000E+00,2.178410E+03,0.000000E+00,1.618490E-01,0.000000E+00,2.220092E+04,0.000000E+00,1.649537E+00,0.000000E+00,2.387862E+03,0.000000E+00,1.774232E-01,0.000000E+00,1.314920E+03,0.000000E+00,9.770736E-02,0.000000E+00,6.468232E+02,0.000000E+00,4.806071E-02,0.000000E+00,3.306121E+03,0.000000E+00,2.456524E-01,0.000000E+00,1.235542E+04,0.000000E+00,9.179984E-01,0.000000E+00,5.225537E+02,0.000000E+00,3.885990E-02,0.000000E+00
00:15:00,1.075695E+05,0.000000E+00,6.093191E+00,0.000000E+00,2.178413E+03,0.000000E+00,1.618493E-01,0.000000E+00,2.220097E+04,0.000000E+00,1.649541E+00,0.000000E+00,2.387868E+03,0.000000E+00,1.774236E-01,0.000000E+00,1.314924E+03,0.000000E+00,9.770762E-02,0.000000E+00,6.468248E+02,0.000000E+00,4.806083E-02,0.000000E+00,3.306129E+03,0.000000E+00,2.456530E-01,0.000000E+00,1.235545E+04,0.000000E+00,9.180004E-01,0.000000E+00,5.225566E+02,0.000000E+00,3.886012E-02,0.000000E+00
00:18:00,1.075701E+05,0.000000E+00,6.093227E+00,0.000000E+00,2.178417E+03,0.000000E+00,1.618495E-01,0.000000E+00,2.220102E+04,0.000000E+00,1.649545E+00,0.000000E+00,2.387873E+03,0.000000E+00,1.774241E-01,0.000000E+00,1.314927E+03,0.000000E+00,9.770788E-02,0.000000E+00,6.468265E+02,0.000000E+00,4.806096E-02,0.000000E+00,3.306137E+03,0.000000E+00,2.456536E-01,0.000000E+00,1.235548E+04,0.000000E+00,9.180025E-01,0.000000E+00,5.225594E+02,0.000000E+00,3.886033E-02,0.000000E+00
00:21:00,1.075707E+05,0.000000E+00,6.093263E+00,0.000000E+00,2.178420E+03,0.000000E+00,1.618498E-01,0.000000E+00,2.220108E+04,0.000000E+00,1.649549E+00,0.000000E+00,2.387879E+03,0.000000E+00,1.774245E-01,0.000000E+00,1.314930E+03,0.000000E+00,9.770814E-02,0.000000E+00,6.468281E+02,0.000000E+00,4.806108E-02,0.000000E+00,3.306145E+03,0.000000E+00,2.456542E-01,0.000000E+00,1.235551E+04,0.000000E+00,9.180045E-01,0.000000E+00,5.225623E+02,0.000000E+00,3.886054E-02,0.000000E+00
00:24:00,1.075714E+05,0.000000E+00,6.093298E+00,0.000000E+00,2.178424E+03,0.000000E+00,1.618500E-01,0.000000E+00,2.220113E+04,0.000000E+00,1.649553E+00,0.000000E+00,2.387885E+03,0.000000E+00,1.774249E-01,0.000000E+00,1.314934E+03,0.000000E+00,9.770839E-02,0.000000E+00,6.468298E+02,0.000000E+00,4.806120E-02,0.000000E+00,3.306153E+03,0.000000E+00,2.456548E-01,0.000000E+00,1.235554E+04,0.000000E+00,9.180066E-01,0.000000E+00,5.225651E+02,0.000000E+00,3.886075E-02,0.000000E+00
00:27:00,1.075720E+05,0.000000E+00,6.093334E+00,0.000000E+00,2.178427E+03,0.000000E+00,1.618503E-01,0.000000E+00,2.220119E+04,0.000000E+00,1.649557E+00,0.000000E+00,2.387891E+03,0.000000E+00,1.774254E-01,0.000000E+00,1.314937E+03,0.000000E+00,9.770865E-02,0.000000E+00,6.468314E+02,0.000000E+00,4.806133E-02,0.000000E+00,3.306161E+03,0.000000E+00,2.456554E-01,0.000000E+00,1.235556E+04,0.000000E+00,9.180086E-01,0.000000E+00,5.225680E+02,0.000000E+00,3.886096E-02,0.000000E+00
00:30:00,1.075726E+05,0.000000E+00,6.093370E+00,0.000000E+00,2.178430E+03,0.000000E+00,1.618505E-01,0.000000E+00,2.220124E+04,0.000000E+00,1.649561E+00,0.000000E+00,2.387897E+03,0.000000E+00,1.774258E-01,0.000000E+00,1.314941E+03,0.000000E+00,9.770891E-02,0.000000E+00,6.468331E+02,0.000000E+00,4.806145E-02,0.000000E+00,3.306169E+03,0.000000E+00,2.456560E-01,0.000000E+00,1.235559E+04,0.000000E+00,9.180107E-01,0.000000E+00,5.225708E+02,0.000000E+00,3.886118E-02,0.000000E+00
