Time,02PLENUM:VOID:WINTER DESIGN DAY IN INOVO TEST (01-05:20-06):Des Heat Load [W],02PLENUM:VOID:SUMMER DESIGN DAY IN INOVO TEST (01-05:20-06) JUL:Des Sens Cool Load [W],02PLENUM:VOID:WINTER DESIGN DAY IN INOVO TEST (01-05:20-06):Des Heat Mass Flow [kg/s],02PLENUM:VOID:SUMMER DESIGN DAY IN INOVO TEST (01-05:20-06) JUL:Des Cool Mass Flow [kg/s],02FFE:OFFICEXNEXLED:WINTER DESIGN DAY IN INOVO TEST (01-05:20-06):Des Heat Load [W],02FFE:OFFICEXNEXLED:SUMMER DESIGN DAY IN INOVO TEST (01-05:20-06) JUL:Des Sens Cool Load [W],02FFE:OFFICEXNEXLED:WINTER DESIGN DAY IN INOVO TEST (01-05:20-06):Des Heat Mass Flow [kg/s],02FFE:OFFICEXNEXLED:SUMMER DESIGN DAY IN INOVO TEST (01-05:20-06) JUL:Des Cool Mass Flow [kg/s],02FFE:OFFICEXE:WINTER DESIGN DAY IN INOVO TEST (01-05:20-06):Des Heat Load [W],02FFE:OFFICEXE:SUMMER DESIGN DAY IN INOVO TEST (01-05:20-06) JUL:Des Sens Cool Load [W],02FFE:OFFICEXE:WINTER DESIGN DAY IN INOVO TEST (01-05:20-06):Des Heat Mass Flow [kg/s],02FFE:OFFICEXE:SUMMER DESIGN DAY IN INOVO TEST (01-05:20-06) JUL:Des Cool Mass Flow [kg/s],02FFE:OFFICEXMEETXSE:WINTER DESIGN DAY IN INOVO TEST (01-05:20-06):Des Heat Load [W],02FFE:OFFICEXMEETXSE:SUMMER DESIGN DAY IN INOVO TEST (01-05:20-06) JUL:Des Sens Cool Load [W],02FFE:OFFICEXMEETXSE:WINTER DESIGN DAY IN INOVO TEST (01-05:20-06):Des Heat Mass Flow [kg/s],02FFE:OFFICEXMEETXSE:SUMMER DESIGN DAY IN INOVO TEST (01-05:20-06) JUL:Des Cool Mass Flow [kg/s],02FFE:OFFICEXMEETXSSE:WINTER DESIGN DAY IN INOVO TEST (01-05:20-06):Des Heat Load [W],02FFE:OFFICEXMEETXSSE:SUMMER DESIGN DAY IN INOVO TEST (01-05:20-06) JUL:Des Sens Cool Load [W],02FFE:OFFICEXMEETXSSE:WINTER DESIGN DAY IN INOVO TEST (01-05:20-06):Des Heat Mass Flow [kg/s],02FFE:OFFICEXMEETXSSE:SUMMER DESIGN DAY IN INOVO TEST (01-05:20-06) JUL:Des Cool Mass Flow [kg/s],02FFE:OFFICEXMEETXSSEXLED:WINTER DESIGN DAY IN INOVO TEST (01-05:20-06):Des Heat Load [W],02FFE:OFFICEXMEETXSSEXLED::Des Sens Cool Load [W],02FFE:OFFICEXMEETXSSEXLED:WINTER DESIGN DAY IN INOVO TEST (01-05:20-06):Des Heat Mass Flow [kg/s],02FFE:OFFICEXMEETXSSEXLED::Des Cool Mass Flow [kg/s],02FFE:OFFICEXNE:WINTER DESIGN DAY IN INOVO TEST (01-05:20-06):Des Heat Load [W],02FFE:OFFICEXNE:SUMMER DESIGN DAY IN INOVO TEST (01-05:20-06) JUL:Des Sens Cool Load [W],02FFE:OFFICEXNE:WINTER DESIGN DAY IN INOVO TEST (01-05:20-06):Des Heat Mass Flow [kg/s],02FFE:OFFICEXNE:SUMMER DESIGN DAY IN INOVO TEST (01-05:20-06) JUL:Des Cool Mass Flow [kg/s],02FFE:OFFICEXN:WINTER DESIGN DAY IN INOVO TEST (01-05:20-06):Des Heat Load [W],02FFE:OFFICEXN:SUMMER DESIGN DAY IN INOVO TEST (01-05:20-06) JUL:Des Sens Cool Load [W],02FFE:OFFICEXN:WINTER DESIGN DAY IN INOVO TEST (01-05:20-06):Des Heat Mass Flow [kg/s],02FFE:OFFICEXN:SUMMER DESIGN DAY IN INOVO TEST (01-05:20-06) JUL:Des Cool Mass Flow [kg/s],02FFE:OFFICEXMEETXSEXLED:WINTER DESIGN DAY IN INOVO TEST (01-05:20-06):Des Heat Load [W],02FFE:OFFICEXMEETXSEXLED:SUMMER DESIGN DAY IN INOVO TEST (01-05:20-06) JUL:Des Sens Cool Load [W],02FFE:OFFICEXMEETXSEXLED:WINTER DESIGN DAY IN INOVO TEST (01-05:20-06):Des Heat Mass Flow [kg/s],02FFE:OFFICEXMEETXSEXLED:SUMMER DESIGN DAY IN INOVO TEST (01-05:20-06) JUL:Des Cool Mass Flow [kg/s]
00:03:00,3.237167E+05,0.000000E+00,1.826732E+01,0.000000E+00,4.182773E+03,0.000000E+00,2.372700E-01,0.000000E+00,5.468731E+04,0.000000E+00,3.102159E+00,0.000000E+00,5.709733E+03,0.000000E+00,3.239057E-01,0.000000E+00,3.321685E+03,0.000000E+00,1.884509E-01,0.000000E+00,1.327034E+03,0.000000E+00,7.528644E-02,0.000000E+00,8.339426E+03,0.000000E+00,4.730734E-01,0.000000E+00,2.908798E+04,0.000000E+00,1.650017E+00,0.000000E+00,1.322375E+03,0.000000E+00,7.510253E-02,0.000000E+00
00:06:00,3.235779E+05,0.000000E+00,1.825951E+01,0.000000E+00,4.181763E+03,0.000000E+00,2.372128E-01,0.000000E+00,5.466410E+04,0.000000E+00,3.100843E+00,0.000000E+00,5.707233E+03,0.000000E+00,3.237641E-01,0.000000E+00,3.320137E+03,0.000000E+00,1.883632E-01,0.000000E+00,1.326415E+03,0.000000E+00,7.525134E-02,0.000000E+00,8.335965E+03,0.000000E+00,4.728773E-01,0.000000E+00,2.907725E+04,0.000000E+00,1.649409E+00,0.000000E+00,1.321317E+03,0.000000E+00,7.504246E-02,0.000000E+00
00:09:00,3.235786E+05,0.000000E+00,1.825955E+01,0.000000E+00,4.181768E+03,0.000000E+00,2.372131E-01,0.000000E+00,5.466421E+04,0.000000E+00,3.100850E+00,0.000000E+00,5.707245E+03,0.000000E+00,3.237648E-01,0.000000E+00,3.320145E+03,0.000000E+00,1.883636E-01,0.000000E+00,1.326418E+03,0.000000E+00,7.525152E-02,0.000000E+00,8.335982E+03,0.000000E+00,4.728783E-01,0.000000E+00,2.907730E+04,0.000000E+00,1.649412E+00,0.000000E+00,1.321322E+03,0.000000E+00,7.504276E-02,0.000000E+00
00:12:00,3.235793E+05,0.000000E+00,1.825959E+01,0.000000E+00,4.181773E+03,0.000000E+00,2.372134E-01,0.000000E+00,5.466433E+04,0.000000E+00,3.100857E+00,0.000000E+00,5.707258E+03,0.000000E+00,3.237655E-01,0.000000E+00,3.320152E+03,0.000000E+00,1.883640E-01,0.000000E+00,1.326421E+03,0.000000E+00,7.525169E-02,0.000000E+00,8.335999E+03,0.000000E+00,4.728793E-01,0.000000E+00,2.907736E+04,0.000000E+00,1.649415E+00,0.000000E+00,1.321327E+03,0.000000E+00,7.504306E-02,0.000000E+00
00:15:00,3.235800E+05,0.000000E+00,1.825963E+01,0.000000E+00,4.181778E+03,0.000000E+00,2.372137E-01,0.000000E+00,5.466444E+04,0.000000E+00,3.100863E+00,0.000000E+00,5.707270E+03,0.000000E+00,3.237662E-01,0.000000E+00,3.320160E+03,0.000000E+00,1.883645E-01,0.000000E+00,1.326424E+03,0.000000E+00,7.525187E-02,0.000000E+00,8.336017E+03,0.000000E+00,4.728803E-01,0.000000E+00,2.907741E+04,0.000000E+00,1.649418E+00,0.000000E+00,1.321332E+03,0.000000E+00,7.504336E-02,0.000000E+00
00:18:00,3.235807E+05,0.000000E+00,1.825967E+01,0.000000E+00,4.181783E+03,0.000000E+00,2.372140E-01,0.000000E+00,5.466456E+04,0.000000E+00,3.100870E+00,0.000000E+00,5.707283E+03,0.000000E+00,3.237669E-01,0.000000E+00,3.320168E+03,0.000000E+00,1.883649E-01,0.000000E+00,1.326427E+03,0.000000E+00,7.525205E-02,0.000000E+00,8.336034E+03,0.000000E+00,4.728812E-01,0.000000E+00,2.907746E+04,0.000000E+00,1.649422E+00,0.000000E+00,1.321338E+03,0.000000E+00,7.504366E-02,0.000000E+00
00:21:00,3.235814E+05,0.000000E+00,1.825971E+01,0.000000E+00,4.181789E+03,0.000000E+00,2.372143E-01,0.000000E+00,5.466468E+04,0.000000E+00,3.100876E+00,0.000000E+00,5.707295E+03,0.000000E+00,3.237676E-01,0.000000E+00,3.320176E+03,0.000000E+00,1.883654E-01,0.000000E+00,1.326430E+03,0.000000E+00,7.525222E-02,0.000000E+00,8.336051E+03,0.000000E+00,4.728822E-01,0.000000E+00,2.907752E+04,0.000000E+00,1.649425E+00,0.000000E+00,1.321343E+03,0.000000E+00,7.504397E-02,0.000000E+00
00:24:00,3.235821E+05,0.000000E+00,1.825975E+01,0.000000E+00,4.181794E+03,0.000000E+00,2.372145E-01,0.000000E+00,5.466479E+04,0.000000E+00,3.100883E+00,0.000000E+00,5.707308E+03,0.000000E+00,3.237683E-01,0.000000E+00,3.320183E+03,0.000000E+00,1.883658E-01,0.000000E+00,1.326433E+03,0.000000E+00,7.525240E-02,0.000000E+00,8.336069E+03,0.000000E+00,4.728832E-01,0.000000E+00,2.907757E+04,0.000000E+00,1.649428E+00,0.000000E+00,1.321348E+03,0.000000E+00,7.504427E-02,0.000000E+00
00:27:00,3.235828E+05,0.000000E+00,1.825979E+01,0.000000E+00,4.181799E+03,0.000000E+00,2.372148E-01,0.000000E+00,5.466491E+04,0.000000E+00,3.100889E+00,0.000000E+00,5.707320E+03,0.000000E+00,3.237690E-01,0.000000E+00,3.320191E+03,0.000000E+00,1.883662E-01,0.000000E+00,1.326437E+03,0.000000E+00,7.525257E-02,0.000000E+00,8.336086E+03,0.000000E+00,4.728842E-01,0.000000E+00,2.907762E+04,0.000000E+00,1.649431E+00,0.000000E+00,1.321354E+03,0.000000E+00,7.504457E-02,0.000000E+00
00:30:00,3.235835E+05,0.000000E+00,1.825982E+01,0.000000E+00,4.181804E+03,0.000000E+00,2.372151E-01,0.000000E+00,5.466502E+04,0.000000E+00,3.100896E+00,0.000000E+00,5.707333E+03,0.000000E+00,3.237697E-01,0.000000E+00,3.320199E+03,0.000000E+00,1.883667E-01,0.000000E+00,1.326440E+03,0.000000E+00,7.525275E-02,0.000000E+00,8.336103E+03,0.000000E+00,4.728851E-01,0.000000E+00,2.907768E+04,0.000000E+00,1.649434E+00,0.000000E+00,1.321359E+03,0.000000E+00,7.504487E-02,0.000000E+00
